Connecting to Gmail IMAP as info@oxydermlaserclinic.ca...
Searching for subject: Treatment Records
Found 6343 messages for 'Treatment Records'.
  ...50/6343 processed (50 extracted, 0 errors, 0 reconnects)
  ...100/6343 processed (100 extracted, 0 errors, 0 reconnects)
  ...150/6343 processed (150 extracted, 0 errors, 0 reconnects)
  ...200/6343 processed (200 extracted, 0 errors, 0 reconnects)
  ...250/6343 processed (250 extracted, 0 errors, 0 reconnects)
  ...300/6343 processed (300 extracted, 0 errors, 0 reconnects)
  ...350/6343 processed (350 extracted, 0 errors, 0 reconnects)
  ...400/6343 processed (400 extracted, 0 errors, 0 reconnects)
  ...450/6343 processed (450 extracted, 0 errors, 0 reconnects)
  ...500/6343 processed (500 extracted, 0 errors, 0 reconnects)
  ...550/6343 processed (550 extracted, 0 errors, 0 reconnects)
  ...600/6343 processed (600 extracted, 0 errors, 0 reconnects)
  ...650/6343 processed (650 extracted, 0 errors, 0 reconnects)
  ...700/6343 processed (700 extracted, 0 errors, 0 reconnects)
  ...750/6343 processed (750 extracted, 0 errors, 0 reconnects)
  ...800/6343 processed (800 extracted, 0 errors, 0 reconnects)
  ...850/6343 processed (850 extracted, 0 errors, 0 reconnects)
  ...900/6343 processed (900 extracted, 0 errors, 0 reconnects)
  ...950/6343 processed (950 extracted, 0 errors, 0 reconnects)
  ...1000/6343 processed (1000 extracted, 0 errors, 0 reconnects)
  ...1050/6343 processed (1050 extracted, 0 errors, 0 reconnects)
  ...1100/6343 processed (1100 extracted, 0 errors, 0 reconnects)
  ...1150/6343 processed (1150 extracted, 0 errors, 0 reconnects)
  ...1200/6343 processed (1200 extracted, 0 errors, 0 reconnects)
  ...1250/6343 processed (1250 extracted, 0 errors, 0 reconnects)
  ...1300/6343 processed (1300 extracted, 0 errors, 0 reconnects)
  ...1350/6343 processed (1350 extracted, 0 errors, 0 reconnects)
  ...1400/6343 processed (1400 extracted, 0 errors, 0 reconnects)
  ...1450/6343 processed (1450 extracted, 0 errors, 0 reconnects)
  ...1500/6343 processed (1500 extracted, 0 errors, 0 reconnects)
  ...1550/6343 processed (1550 extracted, 0 errors, 0 reconnects)
  ...1600/6343 processed (1600 extracted, 0 errors, 0 reconnects)
  ...1650/6343 processed (1650 extracted, 0 errors, 0 reconnects)
  ...1700/6343 processed (1700 extracted, 0 errors, 0 reconnects)
  ...1750/6343 processed (1750 extracted, 0 errors, 0 reconnects)
  ...1800/6343 processed (1800 extracted, 0 errors, 0 reconnects)
  ...1850/6343 processed (1850 extracted, 0 errors, 0 reconnects)
  ...1900/6343 processed (1900 extracted, 0 errors, 0 reconnects)
  ...1950/6343 processed (1950 extracted, 0 errors, 0 reconnects)
  ...2000/6343 processed (2000 extracted, 0 errors, 0 reconnects)
  ...2050/6343 processed (2050 extracted, 0 errors, 0 reconnects)
  ...2100/6343 processed (2100 extracted, 0 errors, 0 reconnects)
  ...2150/6343 processed (2150 extracted, 0 errors, 0 reconnects)
  ...2200/6343 processed (2200 extracted, 0 errors, 0 reconnects)
  ...2250/6343 processed (2250 extracted, 0 errors, 0 reconnects)
  ...2300/6343 processed (2300 extracted, 0 errors, 0 reconnects)
  ...2350/6343 processed (2350 extracted, 0 errors, 0 reconnects)
  ...2400/6343 processed (2400 extracted, 0 errors, 0 reconnects)
  ...2450/6343 processed (2450 extracted, 0 errors, 0 reconnects)
  ...2500/6343 processed (2500 extracted, 0 errors, 0 reconnects)
  ...2550/6343 processed (2550 extracted, 0 errors, 0 reconnects)
  ...2600/6343 processed (2600 extracted, 0 errors, 0 reconnects)
  ...2650/6343 processed (2650 extracted, 0 errors, 0 reconnects)
  ...2700/6343 processed (2700 extracted, 0 errors, 0 reconnects)
  ...2750/6343 processed (2750 extracted, 0 errors, 0 reconnects)
  ...2800/6343 processed (2800 extracted, 0 errors, 0 reconnects)
  ...2850/6343 processed (2850 extracted, 0 errors, 0 reconnects)
  ...2900/6343 processed (2900 extracted, 0 errors, 0 reconnects)
  ...2950/6343 processed (2950 extracted, 0 errors, 0 reconnects)
  ...3000/6343 processed (3000 extracted, 0 errors, 0 reconnects)
  ...3050/6343 processed (3050 extracted, 0 errors, 0 reconnects)
  ...3100/6343 processed (3100 extracted, 0 errors, 0 reconnects)
  ...3150/6343 processed (3150 extracted, 0 errors, 0 reconnects)
  ...3200/6343 processed (3200 extracted, 0 errors, 0 reconnects)
  ...3250/6343 processed (3250 extracted, 0 errors, 0 reconnects)
  ...3300/6343 processed (3300 extracted, 0 errors, 0 reconnects)
  ...3350/6343 processed (3350 extracted, 0 errors, 0 reconnects)
  ...3400/6343 processed (3400 extracted, 0 errors, 0 reconnects)
  ...3450/6343 processed (3450 extracted, 0 errors, 0 reconnects)
  ...3500/6343 processed (3500 extracted, 0 errors, 0 reconnects)
  ...3550/6343 processed (3550 extracted, 0 errors, 0 reconnects)
  ...3600/6343 processed (3600 extracted, 0 errors, 0 reconnects)
  ...3650/6343 processed (3650 extracted, 0 errors, 0 reconnects)
  ...3700/6343 processed (3700 extracted, 0 errors, 0 reconnects)
  ...3750/6343 processed (3750 extracted, 0 errors, 0 reconnects)
  ...3800/6343 processed (3800 extracted, 0 errors, 0 reconnects)
  ...3850/6343 processed (3850 extracted, 0 errors, 0 reconnects)
  ...3900/6343 processed (3900 extracted, 0 errors, 0 reconnects)
  ...3950/6343 processed (3950 extracted, 0 errors, 0 reconnects)
  ...4000/6343 processed (4000 extracted, 0 errors, 0 reconnects)
  ...4050/6343 processed (4050 extracted, 0 errors, 0 reconnects)
  ...4100/6343 processed (4100 extracted, 0 errors, 0 reconnects)
  ...4150/6343 processed (4150 extracted, 0 errors, 0 reconnects)
  ...4200/6343 processed (4200 extracted, 0 errors, 0 reconnects)
  ...4250/6343 processed (4250 extracted, 0 errors, 0 reconnects)
  ...4300/6343 processed (4300 extracted, 0 errors, 0 reconnects)
  ...4350/6343 processed (4350 extracted, 0 errors, 0 reconnects)
  ...4400/6343 processed (4400 extracted, 0 errors, 0 reconnects)
  ...4450/6343 processed (4450 extracted, 0 errors, 0 reconnects)
  ...4500/6343 processed (4500 extracted, 0 errors, 0 reconnects)
  ...4550/6343 processed (4550 extracted, 0 errors, 0 reconnects)
  ...4600/6343 processed (4600 extracted, 0 errors, 0 reconnects)
  ...4650/6343 processed (4650 extracted, 0 errors, 0 reconnects)
  ...4700/6343 processed (4700 extracted, 0 errors, 0 reconnects)
  ...4750/6343 processed (4750 extracted, 0 errors, 0 reconnects)
  ...4800/6343 processed (4800 extracted, 0 errors, 0 reconnects)
  ...4850/6343 processed (4850 extracted, 0 errors, 0 reconnects)
  ...4900/6343 processed (4900 extracted, 0 errors, 0 reconnects)
  ...4950/6343 processed (4950 extracted, 0 errors, 0 reconnects)
  ...5000/6343 processed (5000 extracted, 0 errors, 0 reconnects)
  ...5050/6343 processed (5050 extracted, 0 errors, 0 reconnects)
  ...5100/6343 processed (5100 extracted, 0 errors, 0 reconnects)
  ...5150/6343 processed (5150 extracted, 0 errors, 0 reconnects)
  ...5200/6343 processed (5200 extracted, 0 errors, 0 reconnects)
